grant_id,recipient,amount,agency,description,is_biotech,biotech_strategies,materials,topics
DEAR0001340,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,1749721.0,,"COLUMBIA UNIVERSITY: NEW CONDITIONAL TINA TOPIC J (BIOMINING) AWARD. 
CONTROL: 1953-1698
PROJECT TITLE: DEVELOPMENT OF BIOLOGICAL AND ELECTROCHEMICAL TECHNOLOGIES FOR THE CLEAN EXTRACTION OF COPPER AN",True,biomining_general,copper,extraction
DEAR0001339,TRUSTEES OF TUFTS COLLEGE,600000.0,,"----------

TUFTS UNIVERSITY:  NEW CONDITIONAL TINA TOPIC J BIOMINING AWARD.
CONTROL NUMBER: 1953-1690
TITLE: “LIVING FILTER DESIGN FOR HIGH-THROUGHPUT, LOW-COST RECOVERY OF CRITICAL MATERIALS”

-----",True,biomining_general,critical_minerals,extraction
DEAR0001338,COLORADO STATE UNIVERSITY,170000.0,,"----------

COLORADO STATE UNIVERSITY WITH PACIFIC NORTHWEST NATIONAL LABORATORY:  NEW CONDITIONAL TINA TOPIC J BIOMINING AWARD.

CONTROL NUMBER: 1953-1686
TITLE: “UNREALIZED CRITICAL LANTHANIDE EXTRA",True,biomining_general,rare_earth,
DEAR0001337,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",800000.0,,"UNIVERSITY OF CALIFORNIA BERKELEY: NEW CONDITIONAL TINA TOPIC J BIOMINING AWARD.
CONTROL NUMBER: 1953-1681
PROJECT TITLE: ''EFFICIENT RECOVERY OF RARE EARTH USING METHYLOBACTERIUM EXTORQUENS.''",True,biomining_general,rare_earth,extraction
DEAR0001336,MICHIGAN TECHNOLOGICAL UNIVERSITY,293079.0,,"MICHIGAN TECHNOLOGICAL UNIVERSITY: NEW CONDITIONAL TINA TOPIC J BIOMINING AWARD.
CONTROL NUMBER: 1953-1676			
TITLE: ''IN-SITU BIOLEACHING OF MANGANESE BY DISSIMILATORY REDUCTION''",True,bioleaching;biomining_general,manganese,extraction
DEAR0000963,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,499727.0,,"HARVARD UNIVERSITY: NEW IDEAS AWARD.

CONTROL NUMBER: 1528-2392
TITLE: ''MINING THE DEEP SEA FOR MICROBIAL ETHANO- AND PROPANOGENESIS''",False,,,
DEAR0000645,ADVANCED MATERIALS CORP,407220.95,,RARE EARTH - LEAN MAGNETS FROM IRON NITRIDE POWDERS,False,,rare_earth,
DEAR0000553,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,475221.27,,CO-GENERATION OF FUELS DURING COPPER BIOLEACHING,True,bioleaching,copper,extraction
W912HZ2420062,UNIVERSITY OF TEXAS AT AUSTIN,275000.0,,DEVELOPING BIOTECHNOLOGIES FOR DETECTION AND RECOVERY OF RARE EARTH ELEMENTS,False,,rare_earth,extraction
W912HZ2220037,UNIVERSITY OF TEXAS AT AUSTIN,362000.0,,DEVELOPING BIOTECHNOLOGIES FOR DETECTION AND RECOVERY OF RARE EARTH ELEMENTS,False,,rare_earth,extraction
W912HZ2120050,WILLIAM MARSH RICE UNIVERSITY,5240000.0,,FLASH JOULE HEATING TO DESTROY HAZARDOUS WASTE AND REPURPOSE IT FOR ENERGY OR URBAN MINING OF VALUABLE METALS,False,,critical_minerals;battery_materials,recycling
W912HZ2120048,WAYNE STATE UNIVERSITY,3130353.0,,RARE EARTHS FROM U.S. EXTRACTIONS (REUSE),False,,rare_earth;uranium,extraction
W911NF2520075,REGENTS OF THE UNIVERSITY OF MINNESOTA,160000.0,,INITIAL FUNDING FOR COOPERATIVE AGREEMENT PROPOSAL OF PROCESSING RARE EARTH ELEMENT CHLORIDES WITH NONTHERMAL PLASMA,False,,rare_earth,
W911NF2220211,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,556804.0,,NEW COOPERATIVE AGREEMENT TITLED: DESIGN AND ENGINEERING OF METAL- AND SULFUR-OXIDIZING BIOLEACHING MICROBIOMES,True,bioleaching,critical_minerals,extraction
W911NF2220022,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,409563.0,,EFFICACY OF RARE EARTH MINERAL SUBSTANCES AS HIGH ENTROPY ENVIRONMENTAL BARRIER COATINGS,False,,rare_earth,environmental
W911NF2210265,FLORIDA A & M UNIVERSITY,389998.0,,"NEW GRANT ""NOVEL APPROACHES IN THE SEPARATION OF FLORIDAS RARE EARTH ELEMENT RESOURCES""",False,,rare_earth,separation_purification
W911NF2120181,BRIMROSE TECHNOLOGY CORP,376524.0,,EXPLORATION OF NOVEL RARE-EARTH (RE) AND TRANSITION METAL TM-DOPED LOW MAX- PHONON-ENERGY CRYSTALLINE AND VIRTREOUS MATERIALS FOR DIRECTLY DIODE-PUMPED MID-IR LASERS,False,,rare_earth,exploration
