Category,Appl_id,FY,Funding_IC,Project_Number,Sub_Project,Project_Title,PI_Name,Org_Name,State_Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Breast Cancer,10751015,2024,NCI,5R01CA260112-03,,"Impact of cancer predisposition on oncogenic process, microenvironment, and treatment","DING, LI",WASHINGTON UNIVERSITY,MO,451596,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10751019,2024,NCI,5R01CA269540-02,,Detecting Mammographically-Occult Cancer in Women with Dense Breasts Using Digital Breast Tomosynthesis,"LEE, JUHUN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,330868,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10751020,2024,NCI,5R01CA274924-02,,A New Histone H3 Modification Regulates Epigenetic Programming and Gene Expression in Breast Cancer,"ZHANG, QING",UT SOUTHWESTERN MEDICAL CENTER,TX,406336,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10752624,2024,NCI,5R01CA258314-03,,Image-Guided Intraductal Ablative Procedure for Primary Prevention of Breast Cancer,"SEMPERE, LORENZO",MICHIGAN STATE UNIVERSITY,MI,587267,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10752653,2024,NCI,5R37CA276498-02,,Reversing Drug Resistance in Tumors with Clickable Antibody Pairs,"RIBEIRO PEREIRA, PATRICIA MANUELA",WASHINGTON UNIVERSITY,MO,601992,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10752656,2024,NCI,5K22CA255420-03,,Potentiating the Efficacy of Immune Checkpoint Blockade by Targeting Epithelial-Mesenchymal Transition (EMT)-induced Immunosuppression in Breast Carcinomas,"DONGRE, ANUSHKA",CORNELL UNIVERSITY,NY,227902,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10752670,2024,NCI,5R01CA258325-03,,Hepatic steatosis promotes liver metastasis,"TEITELBAUM, STEVEN",WASHINGTON UNIVERSITY,MO,492873,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10753443,2024,NIBIB,5R01EB033008-02,,"Development of an ultrasound detectable, migration-resistant biopsy marker for improving care in patients with breast cancer","URBAN, MATTHEW",MAYO CLINIC ROCHESTER,MN,627422,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10753483,2024,NCI,5R01CA261985-03,,CTL-killing capacity and cancer stiffness in cancer immunity and therapy,"ZOU, WEIPING",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,614951,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10753515,2024,NCI,5R01CA258833-03,,Investigating Rational Combination Therapies for Triple-Negative Breast Cancer,"MENDILLO, MARC",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,326284,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10753521,2024,NCI,5R01CA237200-06,,Exploring the role of estrogen receptor beta in progression and metastasis ofInflammatory breast cancer,"THOMAS, CHRISTOFOROS",METHODIST HOSPITAL RESEARCH INSTITUTE,TX,350960,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10753563,2024,NIBIB,5R01EB009745-11,,Discrete Frequency Infrared Spectroscopic Imaging for Breast Histopathology,"BHARGAVA, ROHIT",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,540656,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10753588,2024,NCI,5R21CA270876-02,,Investigating GSTP1 as a novel regulator of the cysteine redoxome in breast cancer and maker of vulnerability to redox-based therapy,"HELD, JASON",WASHINGTON UNIVERSITY,MO,207185,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
