Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Lung Cancer,10827580,2024,NCI,1R13CA287959-01,,SRNT 2024 Annual Meeting Global Support,"SALLOUM, RAMZI",SOCIETY FOR RESEARCH ON NICOTINE/TOBACCO,WI,25000,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10827871,2024,NCI,5F31CA275239-02,,The Immunomodulatory Effects of Nrf2 Activation on Macrophages in the Lung Tumor Microenvironment,"MOERLAND, JESSICA",MICHIGAN STATE UNIVERSITY,MI,39060,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10828342,2024,NIBIB,5R21EB033994-02,,Early-Stage Clinical Trial of AI-Driven CBCT-Guided Adaptive Radiotherapy for Lung Cancer,"KESARWALA, APARNA",EMORY UNIVERSITY,GA,195625,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10828367,2024,NCI,5R01CA240452-05,,Construal level as a novel pathway for affect regulation and cancer control,"BERKMAN, ELLIOT",UNIVERSITY OF OREGON,OR,562286,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10828426,2024,NCI,5R01CA275066-02,,"Effects of State Preemption of Local Tobacco Control Legislation on Disparities in Tobacco Use, Exposure and Retail","YANG, TONY",GEORGE WASHINGTON UNIVERSITY,DC,454860,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10828822,2024,NIA,5K01AG070310-04,,The microbiome  in  older  adults  with lung cancer: association of treatment regimens and diet with protective microbial profiles,"SPAKOWICZ, DANIEL",OHIO STATE UNIVERSITY,OH,121554,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Microbiome,Everything_else,Microbiome rule: therapy/technology/methods,,,
Lung Cancer,10829420,2024,NCI,5R01CA254179-05,,Molecularly-based outcome and toxicity prediction after radiotherapy for lung cancer,"DIEHN, MAXIMILIAN",STANFORD UNIVERSITY,CA,597876,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10829797,2024,NCI,5R37CA226081-07,,"Evaluation of genetic, clinical and environmental risk factors to establish effective screening strategies for second primary lung cancer","HAN, SUMMER",STANFORD UNIVERSITY,CA,621799,Strictly_Environmental_or_Gene-Environment,Genetic AND environmental risk factors,Other,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10829812,2024,NCI,5R01CA267694-03,,Mechanistic factors limiting utility of adenovirus vectors for treatment of neopla,"SHAYAKHMETOV, DMITRY",EMORY UNIVERSITY,GA,590956,Mechanistic_Pathogenesis,Adenovirus vector mechanistic factors,,Mechanistic_and_Genetic,,,,
Lung Cancer,10829886,2024,NCI,5R33CA278510-02,,A Rapid and Comprehensive Approach for Clinical Genomic Profiling in Lung Cancer,"DUNCAVAGE, ERIC",WASHINGTON UNIVERSITY,MO,367837,Strictly_Genetic,Contains genetic terms only (no mechanistic or exposure content),,Mechanistic_and_Genetic,,,,
Lung Cancer,10830432,2024,NCI,5K08CA241351-05,,Constitutive Integrin Beta1 Signaling in Lung Cancer,"HAAKE, SCOTT",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,192552,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10830981,2024,NCI,5U01CA209414-08,,The Boston Lung Cancer Survival Cohort,"CHRISTIANI, DAVID",HARVARD SCHOOL OF PUBLIC HEALTH,MA,1113227,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10830982,2024,NCI,5R01CA250422-05,,Deconstructing the collective invasion pack to define Myo10 function,"MARCUS, ADAM",EMORY UNIVERSITY,GA,339008,Mechanistic_Pathogenesis,Collective invasion/Myo10 mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10831573,2024,NCI,5P30CA043703-34,9880,Developmental Therapeutics Research Program,"LETTERIO, JOHN",CASE WESTERN RESERVE UNIVERSITY,OH,93151,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10831575,2024,NCI,5P30CA043703-34,9882,"Cancer Prevention, Control, and Population Research Program","COOPER, GREGORY",CASE WESTERN RESERVE UNIVERSITY,OH,86951,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10831577,2024,NCI,5P30CA043703-34,9884,Community Outreach and Engagement,"TRAPL, ERIKA",CASE WESTERN RESERVE UNIVERSITY,OH,128265,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
